uid,title,slug,simple-date,filename,date,worktype,categories,image-url,item-url,episode-title,episode-url
item3,10% Happier,10-happier,2016-08-21,2016-08-21-10-happier,2016-08-21 01:01:01,"""Development""",book,"410tYZ52IRL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2F10-Happier-Self-Help-Actually-Works-A%2Fdp%2F0062265423%2F,"Dr. Peter Attia on Life-Extension, Drinking Jet Fuel, Ultra-Endurance, Human Foie Gras, and More",http://fourhourworkweek.com/2014/12/18/peter-attia/
item4,22 Immutable Laws of Marketing,22-immutable-laws-of-marketing,2016-08-20,2016-08-20-22-immutable-laws-of-marketing,2016-08-20 01:01:01,"""Development""",book,51bymWkKusL._SY445_QL70_.jpg,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2F22-Immutable-Laws-Marketing-Explained-ebook%2Fdp%2FB000FC10HA%2F,Drunk Dialing Fans–Celebrating The 100th Podcast Episode!,http://fourhourworkweek.com/2015/09/11/drunk-dialing/
item146,A Field Guide to the Birds of North America,a-field-guide-to-the-birds-of-north-america,2016-08-19,2016-08-19-a-field-guide-to-the-birds-of-north-america,2016-08-19 01:01:01,"""Development""",book,"517doMN-H7L._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FNational-Geographic-Field-America-Edition%2Fdp%2F1426208286%2F,Are We Really 10% Human and 90% Bacteria? Exploring The Microbiome…,http://fourhourworkweek.com/2015/01/10/microbiome/
item78,A Geek in Japan,a-geek-in-japan,2016-08-18,2016-08-18-a-geek-in-japan,2016-08-18 01:01:01,"""Development""",book,"61fd%2ByXKhkL._SX218_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FGeek-Japan-Discovering-Manga-Ceremony%2Fdp%2F4805311290%2F,"Derek Sivers on Developing Confidence, Finding Happiness, and Saying “No” to Millions",http://fourhourworkweek.com/2015/12/14/derek-sivers-on-developing-confidence-finding-happiness-and-saying-no-to-millions/
item91,A Guide to the Good Life,a-guide-to-the-good-life,2016-08-17,2016-08-17-a-guide-to-the-good-life,2016-08-17 01:01:01,"""Development""",book,"41oP29YgLtL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FGuide-Good-Life-Ancient-Stoic%2Fdp%2F0195374614%2F,"Derek Sivers on Developing Confidence, Finding Happiness, and Saying “No” to Millions",http://fourhourworkweek.com/2015/12/14/derek-sivers-on-developing-confidence-finding-happiness-and-saying-no-to-millions/
item120,A Lycanthropy Reader: Werewolves in Western Culture,a-lycanthropy-reader-werewolves-in-western-culture,2016-08-16,2016-08-16-a-lycanthropy-reader-werewolves-in-western-culture,2016-08-16 01:01:01,"""Development""",book,"51S450nwIiL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FLycanthropy-Reader-Werewolves-Western-Culture%2Fdp%2F0815623844,"The Random Show: Hating Tech, Hidden Japanese Gems, Sexual Awkwardness, and More",http://fourhourworkweek.com/2014/11/25/the-random-show-hating-tech-hidden-japanese-gems-sexual-awkwardness-and-more/
item183,A Short History of Nearly Everything,a-short-history-of-nearly-everything,2016-08-15,2016-08-15-a-short-history-of-nearly-everything,2016-08-15 01:01:01,"""Development""",book,"41Z3XNXTcHL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FShort-History-Nearly-Everything%2Fdp%2F076790818X%2F,"Amanda Palmer on How to Fight, Meditate, and Make Good Art",http://fourhourworkweek.com/2015/03/30/amanda-palmer/
item215,A Thousand Splendid Suns,a-thousand-splendid-suns,2016-08-14,2016-08-14-a-thousand-splendid-suns,2016-08-14 01:01:01,"""Development""",book,"51752rjZGJL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FThousand-Splendid-Suns-Khaled-Hosseini%2Fdp%2F159448385X%2F%25E2%2580%25A0,"The Tim Ferriss Show, Episode 18: James Altucher on How to Say “No”, Fail Better, and Build Businesses",http://fourhourworkweek.com/2014/07/11/james-altucher/
item7,Abundance: The Future Is Better Than You Think,abundance-the-future-is-better-than-you-think,2016-08-13,2016-08-13-abundance-the-future-is-better-than-you-think,2016-08-13 01:01:01,"""Development""",book,"51h9dTy9r8L._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FAbundance-Future-Better-Than-Think%2Fdp%2F145161683X%2F,How to Think Like Elon Musk and Jeff Bezos,http://fourhourworkweek.com/2015/01/20/elon-musk-and-jeff-bezos/
item8,Across the Universe,across-the-universe,2016-08-12,2016-08-12-across-the-universe,2016-08-12 01:01:01,"""Development""",book,"5144sGuT5fL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FAcross-Universe-Original-Singers-Vocal%2Fdp%2F1423460480%2F,"Nick Ganju on The Majesty of Ping Pong, Poker, and How to Write Hit Songs",http://fourhourworkweek.com/2014/11/21/nick-ganju/
